,index,Neighborhood,Borough,Latitude,Longitude
0,0,Colaba,South Mumbai,18.915091,72.8259691
1,1,Apollo Bandar,South Mumbai,18.9183748,72.8314429
2,2,Fort,South Mumbai,18.9332665,72.8345146
3,3,Churchgate,South Mumbai,18.9359567,72.8273404
4,4,Nariman Point,South Mumbai,18.9259514,72.8232083
5,5,Marine Lines,South Mumbai,18.9456701,72.823781
6,6,Walkeshwar,South Mumbai,18.9553434,72.8079469
7,7,Malabar Hill,South Mumbai,18.9581616,72.8033665
8,8,Kalbadevi,South Mumbai,18.9492575,72.8279382
9,9,Bhuleshwar,South Mumbai,18.9537706,72.8274755
10,10,Masjid Bandar,South Mumbai,18.953598550000002,72.8381264997544
11,11,Darukhana,South Mumbai,18.9770363,72.8490768
12,12,Pydhoni,South Mumbai,18.9539939,72.8323786
13,13,Nagpada,South Mumbai,18.9681782,72.8286009
14,14,Dongri,South Mumbai,18.9622265,72.836795
15,15,Byculla,South Mumbai,18.9766219,72.8327936
16,16,Grand Road,South Mumbai,18.9387711,72.8353355
17,17,Mazgaon,South Mumbai,18.9680519,72.84001187036267
18,18,Mumbai Central,South Mumbai,18.9695855,72.8193152
19,19,Mahalaxmi,South Mumbai,18.9825679,72.82416
20,20,Worli,South Mumbai,19.0116962,72.8180702
21,21,Dadar,West Mumbai,19.019282,72.8428757
22,22,Bandra West,West Mumbai,19.0583358,72.8302669
23,23,Juhu,West Mumbai,19.1070215,72.8275275
24,24,Andheri,West Mumbai,19.1196976,72.8464205
25,25,Kalina,West Mumbai,19.079273,72.8612672
26,26,Santa Cruz,West Mumbai,19.0793694,72.8470855
27,27,Mahim,West Mumbai,19.0423145,72.8398344
28,28,Khar,West Mumbai,19.0696584,72.8398944
29,29,Kurla,East Mumbai,19.0652797,72.8793805
30,30,Ghatkopar,East Mumbai,19.0859539,72.9082381
31,31,Chembur,East Mumbai,19.0612128,72.8975909
32,32,Govandi,East Mumbai,19.0553688,72.9150702
33,33,Mulund West,East Mumbai,19.1719717,72.9511956
34,34,Powai,North Mumbai,19.1187195,72.9073476
35,35,Jogeshwari,North Mumbai,19.1348994,72.8488199
36,36,Malad,North Mumbai,19.1867193,72.8485884
37,37,Borivali,North Mumbai,19.229068,72.8573628
38,38,Mira Road,North Mumbai,19.1878962,72.8365955
