,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Colaba,18.915091,72.8259691,Charagh Din,18.91525418,72.82415147,Men's Store
1,Colaba,18.915091,72.8259691,IMBISS Meating Joint,18.91715727,72.82701804,German Restaurant
2,Colaba,18.915091,72.8259691,Thai Pavilion,18.91424639,72.8210804,Thai Restaurant
3,Colaba,18.915091,72.8259691,Theobroma,18.91929831,72.82918453,Dessert Shop
4,Colaba,18.915091,72.8259691,Vivanta by Taj - President,18.91441306,72.82102774,Hotel
5,Colaba,18.915091,72.8259691,New Martin,18.9186242,72.82951217,Indian Restaurant
6,Colaba,18.915091,72.8259691,Café Basilico,18.91860902,72.83048427,Diner
7,Colaba,18.915091,72.8259691,Jiva Spa,18.9143518,72.82105553,Spa
8,Colaba,18.915091,72.8259691,Trattoria,18.91486346,72.82082104,Italian Restaurant
9,Colaba,18.915091,72.8259691,Konkan Cafe,18.9143613,72.821059,Indian Restaurant
10,Colaba,18.915091,72.8259691,Mezban Restaurant,18.91853273,72.83093004,Indian Restaurant
11,Colaba,18.915091,72.8259691,Wink,18.91449375,72.82098627,Bar
12,Colaba,18.915091,72.8259691,Jean Claude Biguine Salon,18.91486657,72.82384269,Spa
13,Colaba,18.915091,72.8259691,Koyla - Ethnic Cuisine,18.91834648,72.830996,Indian Restaurant
14,Colaba,18.915091,72.8259691,Cafe Coffee Day,18.9152437,72.82415953,Coffee Shop
15,Colaba,18.915091,72.8259691,Mad Over Donuts,18.91920904,72.82942671,Donut Shop
16,Colaba,18.915091,72.8259691,Paradise,18.91872199,72.82887818,Diner
17,Colaba,18.915091,72.8259691,Saizen,18.91731159,72.83119521,Japanese Restaurant
18,Colaba,18.915091,72.8259691,Doolally Taproom,18.91516444,72.8241195,Brewery
19,Colaba,18.915091,72.8259691,Kailash Parbat,18.91855834,72.82851976,Indian Restaurant
20,Colaba,18.915091,72.8259691,Gable's,18.91885649,72.82806188,Restaurant
21,Colaba,18.915091,72.8259691,The Pier,18.91733593,72.83133369,Restaurant
22,Colaba,18.915091,72.8259691,Sizzling China,18.91332491,72.82298152,Chinese Restaurant
23,Colaba,18.915091,72.8259691,Bungalow 8,18.91881744,72.82997774,Furniture / Home Store
24,Colaba,18.915091,72.8259691,Sufra,18.91892884,72.82800501,Middle Eastern Restaurant
25,Colaba,18.915091,72.8259691,Domino's Pizza,18.913,72.823,Pizza Place
26,Colaba,18.915091,72.8259691,Madras Cafe,18.91830407,72.82836746,Café
27,Colaba,18.915091,72.8259691,Cafe Coffee Day,18.91882631,72.83021431,Coffee Shop
28,Colaba,18.915091,72.8259691,Barista creme,18.91871911,72.8303463,Coffee Shop
29,Colaba,18.915091,72.8259691,Fariyas Hotel,18.91706902,72.83000871,Hotel
30,Colaba,18.915091,72.8259691,5 Fitness Club,18.91346826,72.82093311,Gym
31,Colaba,18.915091,72.8259691,Sahibaan,18.91824864,72.8282931,Chinese Restaurant
32,Colaba,18.915091,72.8259691,Colaba Fruit Market,18.917294,72.82855,Farmers Market
33,Colaba,18.915091,72.8259691,Colaba Bus Station,18.91297678,72.82280553,Airport Service
34,Colaba,18.915091,72.8259691,Cloud 9,18.9190633,72.83049944,Pub
35,Apollo Bandar,18.9183748,72.8314429,Café Basilico,18.91860902,72.83048427,Diner
36,Apollo Bandar,18.9183748,72.8314429,New Martin,18.9186242,72.82951217,Indian Restaurant
37,Apollo Bandar,18.9183748,72.8314429,Theobroma,18.91929831,72.82918453,Dessert Shop
38,Apollo Bandar,18.9183748,72.8314429,Harbor View,18.91875033,72.83189079,Bar
39,Apollo Bandar,18.9183748,72.8314429,"Sea Lounge, Taj Mahal Palace Hotel",18.92150341,72.83329756,Lounge
40,Apollo Bandar,18.9183748,72.8314429,Mezban Restaurant,18.91853273,72.83093004,Indian Restaurant
41,Apollo Bandar,18.9183748,72.8314429,Sea Palace,18.91907624,72.83201568,Hotel
42,Apollo Bandar,18.9183748,72.8314429,Piccadilly,18.92142529,72.83093565,Falafel Restaurant
43,Apollo Bandar,18.9183748,72.8314429,Koyla - Ethnic Cuisine,18.91834648,72.830996,Indian Restaurant
44,Apollo Bandar,18.9183748,72.8314429,Taj Mahal Palace & Tower,18.92230601,72.83357809,Hotel
45,Apollo Bandar,18.9183748,72.8314429,Starbucks,18.92158273,72.83242684,Coffee Shop
46,Apollo Bandar,18.9183748,72.8314429,Colaba Market,18.92092813,72.83095864,Flea Market
47,Apollo Bandar,18.9183748,72.8314429,Colaba Social,18.92169952,72.83246678,Cocktail Bar
48,Apollo Bandar,18.9183748,72.8314429,Modern juice centre,18.918485,72.83120829,Juice Bar
49,Apollo Bandar,18.9183748,72.8314429,Pa Pa Ya (Colaba),18.921456,72.832337,Asian Restaurant
50,Apollo Bandar,18.9183748,72.8314429,Café Marina,18.91906673,72.83202533,Café
51,Apollo Bandar,18.9183748,72.8314429,Wasabi by Morimoto,18.92201186,72.83366279,Japanese Restaurant
52,Apollo Bandar,18.9183748,72.8314429,Café Churchill,18.92016732,72.83013614,Café
53,Apollo Bandar,18.9183748,72.8314429,Shamiana,18.92191912,72.83274813,Indian Restaurant
54,Apollo Bandar,18.9183748,72.8314429,Leopold Café,18.9228279,72.83170854,Café
55,Apollo Bandar,18.9183748,72.8314429,La Patisserie,18.92203303,72.83312814,Bakery
56,Apollo Bandar,18.9183748,72.8314429,Gateway of India,18.921856,72.834877,Monument / Landmark
57,Apollo Bandar,18.9183748,72.8314429,The Harbour Bar,18.92203038,72.83361736,Cocktail Bar
58,Apollo Bandar,18.9183748,72.8314429,Souk,18.92243392,72.83393382,Mediterranean Restaurant
59,Apollo Bandar,18.9183748,72.8314429,Mad Over Donuts,18.91920904,72.82942671,Donut Shop
60,Apollo Bandar,18.9183748,72.8314429,Bayview Cafe,18.91876769,72.83194516,Bar
61,Apollo Bandar,18.9183748,72.8314429,Le15 Cafe,18.923709,72.832735,Café
